"","Nikkei 225 (N225)_history.csv Date","Nikkei 225 (N225)_history.csv Price","Nikkei 225 (N225)_history.csv Open","Nikkei 225 (N225)_history.csv High","Nikkei 225 (N225)_history.csv Low","Nikkei 225 (N225)_history.csv Volume"
"1085",2013-06-10,13514.2,13141.85,13514.2,13141.37,"241390"
"1086",2013-06-11,13317.62,13504.77,13584.31,13296.31,"260160"
"1087",2013-06-12,13289.32,13087.66,13332.72,12994.08,"205510"
"1088",2013-06-13,12445.38,13038.02,13050.11,12415.85,"240880"
"1089",2013-06-14,12686.52,12668.9,12900.65,12629.31,"278200"
"1090",2013-06-17,13033.12,12584.37,13033.12,12549.82,"171870"
"1091",2013-06-18,13007.28,13015.15,13139.48,12919.03,"158740"
"1092",2013-06-19,13245.22,13233.08,13296.62,13107.65,"201910"
"1093",2013-06-20,13014.58,13101.85,13190.82,12966.41,"200680"
"1094",2013-06-21,13230.13,12787.87,13330.35,12702.67,"240980"
"1095",2013-06-24,13062.78,13417.54,13426.13,13026.23,"162530"
"1096",2013-06-25,12969.34,13081.62,13234.89,12758.22,"199150"
"1097",2013-06-26,12834.01,13152.75,13189.84,12826.51,"173370"
"1098",2013-06-27,13213.55,12968.72,13213.55,12873.5,"182420"
"1099",2013-06-28,13677.32,13383.92,13724.44,13354.7,"234420"
"1100",2013-07-01,13852.5,13746.72,13862.71,13562.7,"172270"
"1101",2013-07-02,14098.74,13969.15,14098.74,13898.54,"214130"
"1102",2013-07-03,14055.56,14149.99,14164.77,13984.08,"200620"
"1103",2013-07-04,14018.93,13970.27,14093.02,13962.3,"143590"
"1104",2013-07-05,14309.97,14150.85,14309.97,14149.5,"179370"
"1105",2013-07-08,14109.34,14491.07,14497.65,14109.34,"220490"
"1106",2013-07-09,14472.9,14295.44,14472.9,14186.03,"197560"
"1107",2013-07-10,14416.6,14464.82,14555.33,14287.69,"178170"
"1108",2013-07-11,14472.58,14275.26,14496.67,14275.26,"167490"
"1109",2013-07-12,14506.25,14475.17,14574.17,14417.3,"184910"
"1110",2013-07-16,14599.12,14594.88,14638.8,14550.89,"186070"
"1111",2013-07-17,14615.04,14491.8,14615.04,14460.56,"247680"
"1112",2013-07-18,14808.5,14645.25,14827.73,14645.25,"191290"
"1113",2013-07-19,14589.91,14909.76,14953.29,14413.28,"269390"
"1114",2013-07-22,14658.04,14770.02,14770.02,14514.29,"177470"
"1115",2013-07-23,14778.51,14555.36,14820.18,14549.06,"163070"
"1116",2013-07-24,14731.28,14719.64,14751.87,14630.68,"143030"
"1117",2013-07-25,14562.93,14747.21,14748.77,14533.21,"158220"
"1118",2013-07-26,14129.98,14339.39,14376.01,14114.52,"196050"
"1119",2013-07-29,13661.13,13899.27,13953.85,13661.13,"184660"
"1120",2013-07-30,13869.82,13634.2,13909.45,13613.78,"183400"
"1121",2013-07-31,13668.32,13733.55,13836.03,13644.21,"186500"
"1122",2013-08-01,14005.77,13674.5,14005.77,13645.61,"195680"
"1123",2013-08-02,14466.16,14178.66,14466.16,14146.92,"193490"
