"","Nifty 50 (NSEI)_history.csv Date","Nifty 50 (NSEI)_history.csv Price","Nifty 50 (NSEI)_history.csv Open","Nifty 50 (NSEI)_history.csv High","Nifty 50 (NSEI)_history.csv Low","Nifty 50 (NSEI)_history.csv Volume"
"1113",2013-06-24,5590.25,5638.05,5640,5566.25,"193490000"
"1114",2013-06-25,5609.1,5606.95,5666.25,5570.25,"196570000"
"1115",2013-06-26,5588.7,5627.95,5635.25,5579.35,"160100000"
"1116",2013-06-27,5682.35,5647.95,5699.35,5630.95,"239030000"
"1117",2013-06-28,5842.2,5749.5,5852.95,5749.5,"214400000"
"1118",2013-07-01,5898.85,5834.1,5904.35,5822.2,"144790000"
"1119",2013-07-02,5857.55,5885.5,5898.8,5852.3,"145720000"
"1120",2013-07-03,5770.9,5811.95,5815,5760.4,"160520000"
"1121",2013-07-04,5836.95,5794.75,5848.2,5786.05,"151930000"
"1122",2013-07-05,5867.9,5889.95,5900.45,5858.45,"123590000"
"1123",2013-07-08,5811.55,5833.15,5833.85,5775.55,"127630000"
"1124",2013-07-09,5859,5834.6,5864.95,5834.6,"110430000"
"1125",2013-07-10,5816.7,5869.9,5879.35,5802.85,"117520000"
"1126",2013-07-11,5935.1,5894.5,5948.85,5887.95,"120200000"
"1127",2013-07-12,6009,6000.5,6019,5951.15,"127710000"
"1128",2013-07-15,6030.8,5991.2,6038.2,5980.95,"116280000"
"1129",2013-07-16,5955.25,5930.8,5966.05,5910.95,"151160000"
"1130",2013-07-17,5973.3,5972.25,5989.8,5926.75,"191520000"
"1131",2013-07-18,6038.05,5984.7,6051.1,5974.55,"171730000"
"1132",2013-07-19,6029.2,6057.2,6066.85,6020.25,"163310000"
"1133",2013-07-22,6031.8,6009.75,6064.15,6004.25,"115170000"
"1134",2013-07-23,6077.8,6064.3,6093.35,6061.3,"126470000"
"1135",2013-07-24,5990.5,6032.2,6047.25,5962.6,"151930000"
"1136",2013-07-25,5907.5,5970.4,5990.65,5896.4,"237080000"
"1137",2013-07-26,5886.2,5937.95,5944.5,5869.5,"174540000"
"1138",2013-07-29,5831.65,5869.95,5886,5825.8,"173430000"
"1139",2013-07-30,5755.05,5836.05,5861.3,5747.6,"181490000"
"1140",2013-07-31,5742,5738.35,5752.1,5675.75,"235470000"
"1141",2013-08-01,5727.85,5776.9,5808.5,5676.85,"216760000"
"1142",2013-08-02,5677.9,5750.05,5761.85,5649,"222490000"
"1143",2013-08-05,5685.4,5682.4,5721,5661.5,"197170000"
"1144",2013-08-06,5542.25,5664.9,5664.9,5521.8,"216230000"
"1145",2013-08-07,5519.1,5549.3,5561.45,5486.85,"245010000"
"1146",2013-08-08,5565.65,5510.05,5577.6,5510.05,"204920000"
"1147",2013-08-12,5612.4,5606.7,5644.1,5557.1,"195710000"
"1148",2013-08-13,5699.3,5600.25,5704.75,5578.9,"2.23e+08"
"1149",2013-08-14,5742.3,5715.4,5754.55,5690.2,"223660000"
"1150",2013-08-16,5507.85,5705.45,5716.6,5496.05,"248090000"
"1151",2013-08-19,5414.75,5497.55,5499.65,5360.65,"219670000"
"1152",2013-08-20,5401.45,5353.45,5417.8,5306.35,"261050000"
"1153",2013-08-21,5302.55,5494.45,5504.1,5268.45,"2.55e+08"
"1154",2013-08-22,5408.45,5282.8,5418.95,5254.05,"284470000"
"1155",2013-08-23,5471.75,5428.75,5478.8,5377.8,"251510000"
"1156",2013-08-26,5476.5,5499.4,5528.7,5454.45,"2.42e+08"
"1157",2013-08-27,5287.45,5426.5,5427.4,5274.25,"306040000"
"1158",2013-08-28,5285,5233.45,5317.7,5118.85,"335990000"
"1159",2013-08-29,5409.05,5316.5,5428.9,5303,"326500000"
"1160",2013-08-30,5471.8,5407.45,5493.3,5360.2,"336400000"
"1161",2013-09-02,5550.75,5480.25,5564.9,5478.85,"214230000"
"1162",2013-09-03,5341.45,5574.7,5580.95,5323.75,"250300000"
"1163",2013-09-04,5448.1,5358.65,5460.25,5318.9,"237230000"
"1164",2013-09-05,5592.95,5553.75,5625.75,5552.7,"274940000"
"1165",2013-09-06,5680.4,5617.45,5688.6,5566.15,"253030000"
"1166",2013-09-10,5896.75,5738.5,5904.85,5738.2,"275240000"
"1167",2013-09-11,5913.15,5887.25,5924.35,5832.7,"265010000"
"1168",2013-09-12,5850.7,5931.15,5932,5815.8,"272990000"
"1169",2013-09-13,5850.6,5828,5884.3,5822.9,"190770000"
"1170",2013-09-16,5840.55,5930.3,5957.25,5798.15,"219460000"
"1171",2013-09-17,5850.2,5824.2,5857.8,5804.9,"157940000"
"1172",2013-09-18,5899.45,5872.75,5916.9,5840.2,"153580000"
"1173",2013-09-19,6115.55,6044.15,6142.5,6040.15,"287190000"
"1174",2013-09-20,6012.1,6104.55,6130.95,5932.85,"318640000"
"1175",2013-09-23,5889.75,5945.8,5989.4,5871.4,"188320000"
"1176",2013-09-24,5892.45,5855,5938.4,5854.55,"187580000"
"1177",2013-09-25,5873.85,5901.55,5910.55,5811.1,"200160000"
"1178",2013-09-26,5882.25,5872.8,5917.65,5864.1,"220590000"
"1179",2013-09-27,5833.2,5905.55,5909.2,5819.3,"163070000"
"1180",2013-09-30,5735.3,5801.05,5810.2,5718.5,"155680000"
"1181",2013-10-01,5780.05,5756.1,5786.45,5700.95,"159250000"
