"","CSE All-Share (CSE)_history.csv Date","CSE All-Share (CSE)_history.csv Price","CSE All-Share (CSE)_history.csv Open","CSE All-Share (CSE)_history.csv High","CSE All-Share (CSE)_history.csv Low","CSE All-Share (CSE)_history.csv Volume"
"1632",2015-09-28,7078.64,7113.15,7113.7,7078.64,"45900000"
"1633",2015-09-29,7085.38,7082.76,7099.47,7078.64,"28700000"
"1634",2015-09-30,7050.87,7086.66,7095.75,7050.87,"43290000"
"1635",2015-10-01,7080.48,7053.33,7086.29,7050.87,"25950000"
"1636",2015-10-02,7105.54,7081.06,7115.44,7076.51,"27560000"
"1637",2015-10-05,7089.06,7109.06,7127.97,7084.38,"30690000"
"1638",2015-10-06,7085.93,7089.7,7105.08,7079.24,"25770000"
"1639",2015-10-07,7085.45,7083.94,7094.97,7082.81,"23990000"
"1640",2015-10-08,7085.65,7085.88,7097.08,7072.59,"55020000"
"1641",2015-10-09,7096.06,7084.26,7112.36,7084.26,"41960000"
"1642",2015-10-12,7100,7103.45,7120.34,7093.26,"52650000"
"1643",2015-10-13,7078.45,7094.71,7116.48,7078.45,"39340000"
"1644",2015-10-14,7040.32,7080.31,7088.36,7039.69,"23660000"
"1645",2015-10-15,7030.45,7041.21,7043.15,7025.24,"47510000"
"1646",2015-10-16,7020.74,7032.82,7040.24,7020.24,"20540000"
"1647",2015-10-19,7020.74,7032.82,7040.24,7020.24,"1.2e+09"
"1648",2015-10-20,7041.26,7019.66,7053.68,7014.51,"969620000"
"1649",2015-10-21,7055.67,7046.85,7064.98,7041.26,"1.06e+09"
"1650",2015-10-22,7068.85,7056.31,7083.67,7055.67,"778770000"
"1651",2015-10-23,7081.49,7069.04,7093.5,7066.56,"1.08e+09"
"1652",2015-10-26,7083.48,7084.2,7090.79,7079,"481350000"
"1653",2015-10-28,7094.09,7086.43,7101.8,7083.48,"31990000"
"1654",2015-10-29,7070.13,7096.31,7107.1,7070.13,"21560000"
"1655",2015-10-30,7042.06,7071.12,7071.62,7042.06,"37450000"
"1656",2015-11-02,7029.07,7044.26,7050.42,7029.07,"15690000"
"1657",2015-11-03,7000.41,7029.93,7037.15,6998.39,"12180000"
"1658",2015-11-04,7003.57,7000.33,7007.56,6984.16,"15780000"
"1659",2015-11-05,7017.39,7005.12,7025.35,6997.51,"48460000"
"1660",2015-11-06,7059.48,7033.46,7076.43,7017.39,"40850000"
"1661",2015-11-09,7050.21,7059.68,7064.88,7042.89,"15070000"
"1662",2015-11-11,7019.23,7045.55,7050.21,7014.5,"26420000"
"1663",2015-11-12,7006.35,7017.48,7019.23,6997.07,"579800000"
"1664",2015-11-13,7001.81,7003.47,7016.37,6997.63,"37380000"
"1665",2015-11-16,6965.98,7005.67,7015,6965.98,"30520000"
"1666",2015-11-17,6977.95,6964.96,6982.7,6960.85,"46810000"
"1667",2015-11-18,6981.97,6978.22,6983.17,6974.75,"18910000"
"1668",2015-11-19,7020.18,6988.78,7033.11,6981.97,"32850000"
"1669",2015-11-20,7017.44,7021.3,7024.68,6997.05,"17110000"
"1670",2015-11-23,7055.84,7025.55,7072.67,7017.44,"37470000"
"1671",2015-11-24,7009.99,7056.83,7058.13,7004.21,"19430000"
"1672",2015-11-26,6963.37,7002.46,7009.99,6961.45,"23950000"
"1673",2015-11-27,6961.41,6964.3,6974.14,6958.29,"14940000"
"1674",2015-11-30,6909.15,6954.29,6961.41,6909.15,"16640000"
"1675",2015-12-01,6895.19,6909.32,6920,6895.19,"14210000"
"1676",2015-12-02,6862.79,6891.22,6906.3,6862.79,"39830000"
"1677",2015-12-03,6880.66,6863.73,6881.99,6862.79,"17700000"
"1678",2015-12-04,6869.56,6880.79,6881.14,6855.96,"6490000"
"1679",2015-12-07,6858.63,6870.79,6873.85,6854.79,"13360000"
"1680",2015-12-08,6849.09,6858.66,6867.86,6845.66,"20110000"
"1681",2015-12-09,6841.55,6849.43,6849.45,6840.57,"19670000"
"1682",2015-12-10,6823.91,6841.59,6842.31,6819.16,"333110000"
"1683",2015-12-11,6832.35,6823.95,6842.72,6822.59,"21680000"
"1684",2015-12-14,6803.08,6832.75,6839.36,6802.38,"11040000"
"1685",2015-12-15,6820.77,6803.17,6827.12,6803.08,"12200000"
"1686",2015-12-16,6833.51,6822.52,6844.4,6820.51,"255380000"
"1687",2015-12-17,6859.99,6834,6859.99,6833.51,"24370000"
"1688",2015-12-18,6884.69,6859.14,6887.3,6858.92,"17250000"
"1689",2015-12-21,6881.75,6885.12,6891.73,6875.49,"18300000"
"1690",2015-12-22,6854.57,6882.31,6883.7,6854.57,"5900000"
"1691",2015-12-23,6858.64,6854.33,6861.93,6846.27,"7330000"
"1692",2015-12-28,6828.51,6854.78,6859.09,6828.51,"4780000"
"1693",2015-12-29,6847.74,6829.27,6847.74,6828.51,"8220000"
"1694",2015-12-30,6870.63,6847.95,6870.63,6839.95,"15750000"
"1695",2015-12-31,6894.5,6872.9,6894.5,6843,"16060000"
"1696",2016-01-04,6867.62,6894.81,6912.11,6862.16,"16550000"
"1697",2016-01-05,6845.3,6869.05,6870.74,6842.77,"43730000"
"1698",2016-01-06,6817.65,6846,6848.06,6817.36,"67020000"
"1699",2016-01-07,6775.27,6818.2,6820.79,6774.82,"25170000"
"1700",2016-01-08,6726.28,6775.28,6775.28,6719.8,"22320000"
"1701",2016-01-11,6650.32,6726.71,6726.71,6649.07,"20240000"
"1702",2016-01-12,6534.35,6649.95,6650.64,6527.39,"30110000"
"1703",2016-01-13,6554.37,6534.13,6587.24,6532.26,"21100000"
"1704",2016-01-14,6446.2,6556.17,6563.16,6446.2,"38910000"
"1705",2016-01-18,6324.61,6449.43,6466.47,6321.89,"27950000"
"1706",2016-01-19,6283.24,6324.19,6349.83,6235.13,"39800000"
"1707",2016-01-20,6261.18,6286.8,6319.71,6261.18,"27410000"
"1708",2016-01-21,6349.71,6263.82,6373.02,6261.18,"32260000"
"1709",2016-01-22,6382.24,6354.81,6409.43,6349.71,"73450000"
"1710",2016-01-25,6354.83,6393.6,6394.63,6342.09,"15470000"
"1711",2016-01-26,6322.87,6357.28,6372.23,6322.87,"39630000"
"1712",2016-01-27,6316.46,6329.11,6331.28,6311.39,"29920000"
"1713",2016-01-28,6319.89,6316.79,6333.41,6314.91,"10640000"
