"","PSI 20 (PSI20)_history.csv Date","PSI 20 (PSI20)_history.csv Price","PSI 20 (PSI20)_history.csv Open","PSI 20 (PSI20)_history.csv High","PSI 20 (PSI20)_history.csv Low","PSI 20 (PSI20)_history.csv Volume"
"631",2012-10-29,5345.65,5393.7,5395.84,5325.74,"75010000"
"632",2012-10-30,5385.19,5359.64,5388.5,5358.12,"45650000"
"633",2012-10-31,5355.96,5392.26,5413.08,5350.57,"57840000"
"634",2012-11-01,5377.18,5343.05,5414.25,5332.65,"63530000"
"635",2012-11-02,5383.84,5384.53,5416.28,5366.38,"78900000"
"636",2012-11-05,5350.2,5366.22,5377.96,5336.83,"54740000"
"637",2012-11-06,5372.92,5359.74,5372.92,5351.05,"115900000"
"638",2012-11-07,5305.17,5399.65,5410.04,5300.02,"168340000"
"639",2012-11-08,5324.13,5318.88,5357.11,5296.14,"80320000"
"640",2012-11-09,5307.36,5321.11,5321.11,5247.78,"119980000"
"641",2012-11-12,5294.31,5310.54,5325.73,5287.8,"141480000"
"642",2012-11-13,5298.49,5284.37,5303.16,5250.85,"104430000"
"643",2012-11-14,5273.9,5303.2,5319.73,5264.56,"137770000"
"644",2012-11-15,5238.14,5252.59,5278.35,5238.14,"171020000"
"645",2012-11-16,5137.9,5235.7,5236.08,5125.02,"201560000"
"646",2012-11-19,5246.8,5172.79,5251.34,5160.28,"95810000"
"647",2012-11-20,5271.77,5236.12,5279.68,5202.48,"103580000"
"648",2012-11-21,5303.24,5256.95,5328.02,5245.15,"86780000"
"649",2012-11-22,5319.83,5304.9,5326.13,5298.68,"26920000"
"650",2012-11-23,5324.31,5317.47,5327.36,5288.63,"22050000"
"651",2012-11-26,5293.74,5317.14,5322.12,5277.97,"75690000"
"652",2012-11-27,5247.65,5255.03,5317.87,5236.39,"59840000"
"653",2012-11-28,5223,5245.9,5257.87,5188.6,"54820000"
"654",2012-11-29,5260.22,5235.78,5269.34,5225,"139510000"
"655",2012-11-30,5256.38,5268.13,5283.05,5242.4,"102160000"
"656",2012-12-03,5252.51,5268.96,5279.43,5235.75,"128890000"
"657",2012-12-04,5279.03,5255.79,5279.03,5234.03,"123590000"
"658",2012-12-05,5371.7,5299.06,5384.53,5292.39,"256990000"
"659",2012-12-06,5397.36,5395.83,5440.34,5373.66,"169820000"
"660",2012-12-07,5436.18,5415.79,5436.18,5391.25,"93630000"
"661",2012-12-10,5401.36,5415.65,5421.19,5359.86,"137390000"
"662",2012-12-11,5511.83,5405.66,5527.38,5405.66,"130550000"
"663",2012-12-12,5561.47,5519.73,5561.47,5508.55,"64700000"
"664",2012-12-13,5615.41,5568.55,5615.41,5541.8,"63540000"
"665",2012-12-14,5625.31,5613.06,5643.44,5600.83,"125870000"
"666",2012-12-17,5638.88,5676.36,5676.36,5619.59,"147180000"
"667",2012-12-18,5687.76,5652.25,5695.74,5648.18,"169400000"
"668",2012-12-19,5731.08,5700.87,5763.92,5696.51,"165320000"
"669",2012-12-20,5746.47,5719.01,5746.47,5710.7,"97840000"
"670",2012-12-21,5693.22,5738.95,5741.88,5690.39,"157980000"
"671",2012-12-24,5710.56,5706.64,5710.56,5685.45,"15090000"
"672",2012-12-27,5704.45,5693.22,5727.65,5693.22,"238900000"
"673",2012-12-28,5659.5,5710.11,5715.64,5641.02,"193610000"
