"","S&P ASX 200 (AXJO)_history.csv Date","S&P ASX 200 (AXJO)_history.csv Price","S&P ASX 200 (AXJO)_history.csv Open","S&P ASX 200 (AXJO)_history.csv High","S&P ASX 200 (AXJO)_history.csv Low","S&P ASX 200 (AXJO)_history.csv Volume"
"1606",2015-03-24,5969.08,5956.1,5979.9,5956.1,"579200000"
"1607",2015-03-25,5973.31,5969.1,5988.7,5961.5,"626070000"
"1608",2015-03-26,5879.06,5973.3,5973.3,5879.06,"637420000"
"1609",2015-03-27,5919.94,5879.1,5933.2,5877.1,"655120000"
"1610",2015-03-29,5849.1,5910.8,5910.8,5848.8,"230720000"
"1611",2015-03-30,5846.09,5919.9,5919.9,5828.1,"762730000"
"1612",2015-03-31,5891.51,5846.1,5931.5,5846.1,"714250000"
"1613",2015-04-01,5860.75,5891.5,5891.5,5843.9,"683720000"
"1614",2015-04-02,5898.58,5860.8,5907.4,5860.8,"564280000"
"1615",2015-04-07,5925.97,5898.6,5981.7,5898.6,"554450000"
"1616",2015-04-08,5960.73,5926,5974.6,5926,"523210000"
"1617",2015-04-09,5932.22,5960.7,5964.6,5930.5,"484320000"
"1618",2015-04-10,5968.37,5932.2,5968.4,5926,"398790000"
"1619",2015-04-13,5960.27,5968.4,5996.4,5959.5,"426620000"
"1620",2015-04-14,5946.55,5960.3,5960.3,5929.2,"474680000"
"1621",2015-04-15,5908.42,5946.6,5958.9,5893.7,"593550000"
"1622",2015-04-16,5947.47,5908.4,5970.8,5908.4,"615980000"
"1623",2015-04-17,5877.87,5947.5,5947.5,5869.5,"567090000"
"1624",2015-04-20,5833.12,5877.9,5877.9,5807.8,"489930000"
"1625",2015-04-21,5872.34,5833.1,5888.5,5833.1,"528010000"
"1626",2015-04-22,5837.49,5872.3,5873.8,5818.3,"576620000"
"1627",2015-04-23,5844.77,5837.5,5849.1,5825.9,"580150000"
"1628",2015-04-24,5933.29,5844.8,5935,5844.8,"662390000"
"1629",2015-04-27,5982.69,5933.3,5985.6,5933.3,"549570000"
"1630",2015-04-28,5948.54,5982.7,5984.2,5948.5,"561800000"
"1631",2015-04-29,5838.58,5948.5,5948.5,5838.58,"626750000"
"1632",2015-04-30,5789.98,5838.6,5838.6,5749.9,"715340000"
"1633",2015-05-01,5814.4,5790,5825.1,5769.6,"549190000"
"1634",2015-05-04,5827.54,5814.4,5846.6,5793,"517750000"
"1635",2015-05-05,5826.52,5827.5,5901.8,5802.2,"690570000"
"1636",2015-05-06,5692.16,5826.5,5826.5,5692.16,"693220000"
"1637",2015-05-07,5645.69,5692.2,5692.2,5606.7,"693100000"
"1638",2015-05-08,5634.56,5645.7,5689.1,5634.56,"523360000"
"1639",2015-05-11,5625.24,5634.6,5698.7,5622.8,"573150000"
"1640",2015-05-12,5674.74,5627.6,5685,5616,"799480000"
"1641",2015-05-13,5715.15,5674.7,5717.1,5668.6,"648300000"
"1642",2015-05-14,5696.57,5715.1,5715.1,5663.5,"653030000"
"1643",2015-05-15,5735.49,5696.6,5747,5696.6,"570290000"
"1644",2015-05-18,5659.17,5735.5,5735.5,5659.17,"468360000"
"1645",2015-05-19,5615.5,5658.9,5673.3,5611.2,"605580000"
"1646",2015-05-20,5610.3,5615.5,5625.6,5574.6,"617490000"
"1647",2015-05-21,5662.27,5610.3,5665.8,5610.3,"796460000"
"1648",2015-05-22,5664.74,5662.3,5692.1,5655.1,"468030000"
"1649",2015-05-25,5721.48,5664.7,5733.3,5664.7,"453680000"
"1650",2015-05-26,5773.38,5721.5,5775.3,5721.5,"494050000"
"1651",2015-05-27,5725.25,5773.4,5773.4,5716,"633410000"
