project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ethereum,daily,2016041500,all-access,all-agents,1251
en.wikipedia,Ethereum,daily,2016041600,all-access,all-agents,984
en.wikipedia,Ethereum,daily,2016041700,all-access,all-agents,1037
en.wikipedia,Ethereum,daily,2016041800,all-access,all-agents,1366
en.wikipedia,Ethereum,daily,2016041900,all-access,all-agents,1344
en.wikipedia,Ethereum,daily,2016042000,all-access,all-agents,1404
en.wikipedia,Ethereum,daily,2016042100,all-access,all-agents,1514
en.wikipedia,Ethereum,daily,2016042200,all-access,all-agents,1269
en.wikipedia,Ethereum,daily,2016042300,all-access,all-agents,969
en.wikipedia,Ethereum,daily,2016042400,all-access,all-agents,977
en.wikipedia,Ethereum,daily,2016042500,all-access,all-agents,1579
en.wikipedia,Ethereum,daily,2016042600,all-access,all-agents,1286
en.wikipedia,Ethereum,daily,2016042700,all-access,all-agents,1404
en.wikipedia,Ethereum,daily,2016042800,all-access,all-agents,1561
en.wikipedia,Ethereum,daily,2016042900,all-access,all-agents,1383
en.wikipedia,Ethereum,daily,2016043000,all-access,all-agents,1023
en.wikipedia,Ethereum,daily,2016050100,all-access,all-agents,1181
en.wikipedia,Ethereum,daily,2016050200,all-access,all-agents,2086
en.wikipedia,Ethereum,daily,2016050300,all-access,all-agents,2055
en.wikipedia,Ethereum,daily,2016050400,all-access,all-agents,1893
en.wikipedia,Ethereum,daily,2016050500,all-access,all-agents,1826
en.wikipedia,Ethereum,daily,2016050600,all-access,all-agents,1982
en.wikipedia,Ethereum,daily,2016050700,all-access,all-agents,1369
en.wikipedia,Ethereum,daily,2016050800,all-access,all-agents,1395
en.wikipedia,Ethereum,daily,2016050900,all-access,all-agents,1973
en.wikipedia,Ethereum,daily,2016051000,all-access,all-agents,2215
en.wikipedia,Ethereum,daily,2016051100,all-access,all-agents,2022
en.wikipedia,Ethereum,daily,2016051200,all-access,all-agents,2170
en.wikipedia,Ethereum,daily,2016051300,all-access,all-agents,1925
en.wikipedia,Ethereum,daily,2016051400,all-access,all-agents,1813
en.wikipedia,Ethereum,daily,2016051500,all-access,all-agents,1943
en.wikipedia,Ethereum,daily,2016051600,all-access,all-agents,3660
en.wikipedia,Ethereum,daily,2016051700,all-access,all-agents,3443
en.wikipedia,Ethereum,daily,2016051800,all-access,all-agents,3345
en.wikipedia,Ethereum,daily,2016051900,all-access,all-agents,3493
en.wikipedia,Ethereum,daily,2016052000,all-access,all-agents,3278
en.wikipedia,Ethereum,daily,2016052100,all-access,all-agents,2271
en.wikipedia,Ethereum,daily,2016052200,all-access,all-agents,3141
en.wikipedia,Ethereum,daily,2016052300,all-access,all-agents,4039
en.wikipedia,Ethereum,daily,2016052400,all-access,all-agents,3549
en.wikipedia,Ethereum,daily,2016052500,all-access,all-agents,4216
en.wikipedia,Ethereum,daily,2016052600,all-access,all-agents,3199
en.wikipedia,Ethereum,daily,2016052700,all-access,all-agents,3236
en.wikipedia,Ethereum,daily,2016052800,all-access,all-agents,2316
en.wikipedia,Ethereum,daily,2016052900,all-access,all-agents,2458
en.wikipedia,Ethereum,daily,2016053000,all-access,all-agents,3000
en.wikipedia,Ethereum,daily,2016053100,all-access,all-agents,3246
en.wikipedia,Ethereum,daily,2016060100,all-access,all-agents,2935
