"","GBP_USD_history.csv Date","GBP_USD_history.csv Price","GBP_USD_history.csv Open","GBP_USD_history.csv High","GBP_USD_history.csv Low"
"1730",2015-08-17,1.5587,1.564,1.5692,1.5577
"1731",2015-08-18,1.5661,1.5586,1.5722,1.556
"1732",2015-08-19,1.5679,1.5656,1.57,1.5633
"1733",2015-08-20,1.5688,1.5677,1.5702,1.5604
"1734",2015-08-21,1.5697,1.5685,1.5725,1.5655
"1735",2015-08-24,1.5776,1.5699,1.5803,1.5628
"1736",2015-08-25,1.5688,1.5776,1.582,1.5677
"1737",2015-08-26,1.5459,1.5686,1.572,1.5449
"1738",2015-08-27,1.54,1.5459,1.5509,1.5368
"1739",2015-08-28,1.5393,1.5399,1.5445,1.5333
"1740",2015-08-31,1.5343,1.5393,1.5437,1.5335
"1741",2015-09-01,1.5303,1.5342,1.5408,1.5297
"1742",2015-09-02,1.5301,1.53,1.5327,1.5263
"1743",2015-09-03,1.5257,1.5296,1.5315,1.5217
"1744",2015-09-04,1.5171,1.5255,1.5275,1.516
"1745",2015-09-07,1.527,1.5178,1.5289,1.5168
"1746",2015-09-08,1.5396,1.5274,1.5413,1.5266
"1747",2015-09-09,1.5368,1.5395,1.5409,1.5347
"1748",2015-09-10,1.5446,1.5364,1.5477,1.5336
"1749",2015-09-11,1.543,1.544,1.5465,1.5398
"1750",2015-09-14,1.5426,1.542,1.5473,1.5371
"1751",2015-09-15,1.5342,1.5424,1.5457,1.5325
"1752",2015-09-16,1.5493,1.534,1.5529,1.5327
"1753",2015-09-17,1.5591,1.5488,1.5632,1.5484
"1754",2015-09-18,1.5532,1.5588,1.5659,1.5512
"1755",2015-09-21,1.5508,1.5533,1.5569,1.5478
"1756",2015-09-22,1.5365,1.5502,1.5531,1.5338
"1757",2015-09-23,1.5246,1.5359,1.537,1.5218
"1758",2015-09-24,1.5241,1.524,1.5289,1.5198
"1759",2015-09-25,1.5182,1.524,1.5261,1.5133
"1760",2015-09-28,1.5174,1.5181,1.5243,1.5155
