Date	Price	Open	High	Low	Change %
Sep 07, 2010	1,5352	1,5361	1,5426	1,5296	-0,06%
Sep 08, 2010	1,5474	1,5352	1,5533	1,5351	0,79%
Sep 09, 2010	1,5414	1,5474	1,5476	1,5376	-0,39%
Sep 10, 2010	1,5356	1,5414	1,5467	1,5346	-0,38%
Sep 13, 2010	1,5384	1,5398	1,5489	1,5384	0,18%
Sep 14, 2010	1,5538	1,5384	1,5588	1,5349	1,00%
Sep 15, 2010	1,5636	1,5538	1,5652	1,5450	0,63%
Sep 16, 2010	1,5604	1,5636	1,5649	1,5539	-0,20%
Sep 17, 2010	1,5631	1,5604	1,5729	1,5596	0,17%
Sep 20, 2010	1,5550	1,5642	1,5687	1,5538	-0,52%
Sep 21, 2010	1,5632	1,5550	1,5641	1,5505	0,53%
Sep 22, 2010	1,5642	1,5632	1,5716	1,5607	0,06%
Sep 23, 2010	1,5661	1,5642	1,5741	1,5613	0,12%
Sep 24, 2010	1,5825	1,5661	1,5844	1,5642	1,05%
Sep 27, 2010	1,5810	1,5828	1,5868	1,5788	-0,09%
Sep 28, 2010	1,5807	1,5810	1,5896	1,5720	-0,02%
Sep 29, 2010	1,5804	1,5807	1,5874	1,5762	-0,02%
Sep 30, 2010	1,5732	1,5804	1,5922	1,5670	-0,46%
Oct 01, 2010	1,5821	1,5732	1,5873	1,5704	0,57%
Oct 04, 2010	1,5808	1,5820	1,5870	1,5750	-0,08%
Oct 05, 2010	1,5912	1,5808	1,5931	1,5754	0,66%
Oct 06, 2010	1,5865	1,5912	1,5940	1,5834	-0,30%
Oct 07, 2010	1,5878	1,5865	1,6018	1,5828	0,08%
Oct 08, 2010	1,5962	1,5878	1,5965	1,5823	0,53%
Oct 11, 2010	1,5876	1,5958	1,5963	1,5869	-0,54%
Oct 12, 2010	1,5803	1,5876	1,5918	1,5756	-0,46%
Oct 13, 2010	1,5933	1,5803	1,5938	1,5775	0,82%
Oct 14, 2010	1,5987	1,5933	1,6066	1,5933	0,34%
Oct 15, 2010	1,5991	1,5987	1,6106	1,5976	0,03%
Oct 18, 2010	1,5906	1,5994	1,5996	1,5838	-0,53%
Oct 19, 2010	1,5656	1,5906	1,5942	1,5651	-1,57%
Oct 20, 2010	1,5849	1,5656	1,5878	1,5656	1,23%
Oct 21, 2010	1,5717	1,5849	1,5850	1,5687	-0,83%
Oct 22, 2010	1,5684	1,5717	1,5751	1,5656	-0,21%
Oct 25, 2010	1,5710	1,5684	1,5774	1,5678	0,17%
Oct 26, 2010	1,5842	1,5710	1,5896	1,5709	0,84%
Oct 27, 2010	1,5791	1,5842	1,5865	1,5731	-0,32%
Oct 28, 2010	1,5962	1,5791	1,5978	1,5762	1,08%
Oct 29, 2010	1,6042	1,5962	1,6047	1,5878	0,50%
Nov 01, 2010	1,6058	1,6047	1,6089	1,5999	0,10%
Nov 02, 2010	1,6030	1,6058	1,6080	1,5963	-0,17%
Nov 03, 2010	1,6106	1,6030	1,6179	1,6007	0,47%
Nov 04, 2010	1,6276	1,6106	1,6299	1,6090	1,06%
Nov 05, 2010	1,6184	1,6276	1,6280	1,6167	-0,57%
Nov 08, 2010	1,6115	1,6207	1,6215	1,6105	-0,43%
Nov 09, 2010	1,6000	1,6115	1,6184	1,5954	-0,71%
Nov 10, 2010	1,6121	1,6000	1,6136	1,5963	0,76%
Nov 11, 2010	1,6102	1,6121	1,6179	1,6082	-0,12%
Nov 12, 2010	1,6116	1,6102	1,6184	1,5986	0,09%
Nov 15, 2010	1,6041	1,6128	1,6155	1,6040	-0,47%
Nov 16, 2010	1,5886	1,6041	1,6085	1,5840	-0,97%
Nov 17, 2010	1,5919	1,5886	1,5949	1,5856	0,21%
Nov 18, 2010	1,6051	1,5919	1,6056	1,5889	0,83%
Nov 19, 2010	1,5983	1,6051	1,6095	1,5936	-0,42%
Nov 22, 2010	1,5942	1,6002	1,6084	1,5899	-0,26%
Nov 23, 2010	1,5800	1,5942	1,5954	1,5760	-0,89%
Nov 24, 2010	1,5790	1,5800	1,5838	1,5741	-0,06%
Nov 25, 2010	1,5758	1,5790	1,5794	1,5726	-0,20%
Nov 26, 2010	1,5592	1,5758	1,5767	1,5578	-1,05%
Nov 29, 2010	1,5549	1,5590	1,5647	1,5528	-0,28%
Nov 30, 2010	1,5571	1,5549	1,5596	1,5486	0,14%
Dec 01, 2010	1,5611	1,5571	1,5649	1,5548	0,26%
Dec 02, 2010	1,5594	1,5611	1,5667	1,5512	-0,11%
Dec 03, 2010	1,5771	1,5594	1,5788	1,5593	1,14%
Dec 06, 2010	1,5710	1,5767	1,5769	1,5656	-0,39%
Dec 07, 2010	1,5753	1,5710	1,5822	1,5705	0,27%
Dec 08, 2010	1,5794	1,5753	1,5823	1,5669	0,26%
Dec 09, 2010	1,5774	1,5794	1,5841	1,5712	-0,13%
Dec 10, 2010	1,5803	1,5774	1,5861	1,5749	0,18%
Dec 13, 2010	1,5860	1,5794	1,5896	1,5720	0,36%
Dec 14, 2010	1,5763	1,5860	1,5911	1,5740	-0,61%
Dec 15, 2010	1,5559	1,5763	1,5769	1,5532	-1,29%
Dec 16, 2010	1,5631	1,5559	1,5637	1,5541	0,46%
Dec 17, 2010	1,5534	1,5631	1,5647	1,5455	-0,62%
Dec 20, 2010	1,5506	1,5512	1,5577	1,5476	-0,18%
Dec 21, 2010	1,5465	1,5506	1,5568	1,5436	-0,26%
Dec 22, 2010	1,5406	1,5465	1,5494	1,5357	-0,38%
Dec 23, 2010	1,5445	1,5406	1,5446	1,5374	0,25%
Dec 24, 2010	1,5440	1,5445	1,5478	1,5419	-0,03%
Dec 27, 2010	1,5442	1,5408	1,5458	1,5370	0,01%
Dec 28, 2010	1,5354	1,5442	1,5512	1,5346	-0,57%
Dec 29, 2010	1,5502	1,5354	1,5518	1,5353	0,96%
Dec 30, 2010	1,5436	1,5502	1,5536	1,5368	-0,43%
Dec 31, 2010	1,5611	1,5436	1,5664	1,5426	1,13%
Jan 03, 2011	1,5488	1,5572	1,5576	1,5434	-0,79%
Jan 04, 2011	1,5597	1,5488	1,5646	1,5455	0,70%
Jan 05, 2011	1,5512	1,5597	1,5628	1,5452	-0,54%
Jan 06, 2011	1,5450	1,5512	1,5564	1,5447	-0,40%
Jan 07, 2011	1,5547	1,5450	1,5579	1,5407	0,63%
Jan 10, 2011	1,5589	1,5541	1,5603	1,5476	0,27%
Jan 11, 2011	1,5607	1,5589	1,5639	1,5514	0,12%
Jan 12, 2011	1,5748	1,5607	1,5780	1,5583	0,90%
Jan 13, 2011	1,5843	1,5748	1,5884	1,5719	0,60%
Jan 14, 2011	1,5870	1,5843	1,5889	1,5810	0,17%
Jan 17, 2011	1,5898	1,5880	1,5954	1,5836	0,18%
Jan 18, 2011	1,5958	1,5898	1,6059	1,5897	0,38%
Jan 19, 2011	1,5974	1,5958	1,6038	1,5946	0,10%
Jan 20, 2011	1,5908	1,5974	1,6009	1,5838	-0,41%
Jan 21, 2011	1,6000	1,5908	1,6017	1,5868	0,58%
Jan 24, 2011	1,5982	1,5993	1,6014	1,5921	-0,11%
Jan 25, 2011	1,5816	1,5982	1,6018	1,5752	-1,04%
Jan 26, 2011	1,5932	1,5816	1,5938	1,5770	0,73%
Jan 27, 2011	1,5925	1,5932	1,5991	1,5880	-0,04%
Jan 28, 2011	1,5860	1,5925	1,5966	1,5826	-0,41%
Jan 31, 2011	1,6025	1,5824	1,6049	1,5822	1,04%
Feb 01, 2011	1,6135	1,6025	1,6163	1,6024	0,69%
Feb 02, 2011	1,6202	1,6135	1,6230	1,6128	0,42%
Feb 03, 2011	1,6134	1,6202	1,6278	1,6122	-0,42%
Feb 04, 2011	1,6109	1,6134	1,6173	1,6036	-0,15%
Feb 07, 2011	1,6127	1,6098	1,6185	1,6091	0,11%
Feb 08, 2011	1,6064	1,6127	1,6162	1,6029	-0,39%
Feb 09, 2011	1,6100	1,6064	1,6124	1,6034	0,22%
Feb 10, 2011	1,6096	1,6100	1,6138	1,6013	-0,02%
Feb 11, 2011	1,6007	1,6096	1,6113	1,5964	-0,55%
Feb 14, 2011	1,6025	1,6002	1,6078	1,5982	0,11%
Feb 15, 2011	1,6135	1,6025	1,6170	1,6008	0,69%
Feb 16, 2011	1,6092	1,6135	1,6186	1,5987	-0,27%
Feb 17, 2011	1,6176	1,6092	1,6186	1,6076	0,52%
Feb 18, 2011	1,6253	1,6176	1,6263	1,6149	0,48%
Feb 21, 2011	1,6227	1,6249	1,6253	1,6204	-0,16%
Feb 22, 2011	1,6158	1,6227	1,6228	1,6102	-0,43%
Feb 23, 2011	1,6233	1,6158	1,6274	1,6157	0,46%
Feb 24, 2011	1,6143	1,6233	1,6255	1,6085	-0,55%
Feb 25, 2011	1,6118	1,6143	1,6160	1,6032	-0,15%
Feb 28, 2011	1,6269	1,6098	1,6276	1,6073	0,94%
Mar 01, 2011	1,6256	1,6269	1,6329	1,6252	-0,08%
Mar 02, 2011	1,6329	1,6256	1,6344	1,6216	0,45%
Mar 03, 2011	1,6275	1,6329	1,6334	1,6254	-0,33%
Mar 04, 2011	1,6270	1,6275	1,6305	1,6236	-0,03%
Mar 07, 2011	1,6196	1,6266	1,6341	1,6183	-0,45%
Mar 08, 2011	1,6162	1,6196	1,6209	1,6126	-0,21%
Mar 09, 2011	1,6202	1,6162	1,6243	1,6140	0,25%
Mar 10, 2011	1,6064	1,6202	1,6214	1,6040	-0,85%
Mar 11, 2011	1,6080	1,6064	1,6087	1,5978	0,10%
Mar 14, 2011	1,6171	1,6070	1,6198	1,6027	0,57%
Mar 15, 2011	1,6051	1,6171	1,6185	1,5979	-0,74%
Mar 16, 2011	1,6037	1,6084	1,6134	1,5984	-0,09%
Mar 16, 2011	1,6143	1,5988	1,6170	1,5979	0,66%
Mar 17, 2011	1,6141	1,5991	1,6170	1,5981	-0,01%
Mar 17, 2011	1,6233	1,6143	1,6256	1,6055	0,57%
Mar 18, 2011	1,6238	1,6138	1,6257	1,6059	0,03%
Mar 21, 2011	1,6308	1,6222	1,6328	1,6204	0,43%
Mar 22, 2011	1,6358	1,6308	1,6402	1,6294	0,31%
Mar 23, 2011	1,6247	1,6358	1,6382	1,6220	-0,68%
Mar 24, 2011	1,6120	1,6247	1,6267	1,6092	-0,78%
Mar 25, 2011	1,6042	1,6120	1,6142	1,6008	-0,48%
Mar 28, 2011	1,5982	1,6012	1,6038	1,5938	-0,37%
Mar 29, 2011	1,6020	1,5982	1,6043	1,5943	0,24%
Mar 30, 2011	1,6082	1,6020	1,6083	1,5980	0,39%
Mar 31, 2011	1,6023	1,6082	1,6151	1,6016	-0,37%
Apr 01, 2011	1,6111	1,6023	1,6132	1,5973	0,55%
Apr 04, 2011	1,6114	1,6124	1,6177	1,6108	0,02%
Apr 05, 2011	1,6304	1,6114	1,6304	1,6093	1,18%
Apr 06, 2011	1,6324	1,6304	1,6363	1,6258	0,12%
Apr 07, 2011	1,6317	1,6324	1,6349	1,6264	-0,04%
Apr 08, 2011	1,6383	1,6317	1,6427	1,6316	0,40%
Apr 11, 2011	1,6338	1,6393	1,6426	1,6314	-0,27%
Apr 12, 2011	1,6260	1,6338	1,6344	1,6228	-0,48%
Apr 13, 2011	1,6278	1,6260	1,6309	1,6238	0,11%
Apr 14, 2011	1,6367	1,6278	1,6384	1,6255	0,55%
Apr 15, 2011	1,6328	1,6367	1,6373	1,6293	-0,24%
Apr 18, 2011	1,6265	1,6316	1,6328	1,6166	-0,39%
Apr 19, 2011	1,6334	1,6265	1,6339	1,6231	0,42%
Apr 20, 2011	1,6393	1,6334	1,6426	1,6308	0,36%
Apr 21, 2011	1,6519	1,6393	1,6599	1,6389	0,77%
Apr 22, 2011	1,6509	1,6519	1,6569	1,6504	-0,06%
Apr 25, 2011	1,6492	1,6548	1,6548	1,6468	-0,10%
Apr 26, 2011	1,6508	1,6492	1,6533	1,6432	0,10%
